ID,Name,ObjectType,RadianceType,MeasurementLocation,Lat,Long,MeasurementCredit,URL,Comments,Specularity,Roughness,MeasurementType,R,G,B,L,a,b,hex,SCIMeasures,SCEMeasures,VisibleReflectance,MelanopicReflectance,Radiance Material
00001,White Painted Room Walls,Wall,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0036,0.2,Spectrophotometer,0.8316,0.8116,0.7226,91.99,-0.28,5.53,#ECE8DD,"{360: 8.86, 370: 10.72, 380: 15.31, 390: 26.40, 400: 45.73, 410: 63.22, 420: 69.71, 430: 71.68, 440: 73.28, 450: 74.54, 460: 75.16, 470: 75.47, 480: 75.98, 490: 76.65, 500: 77.45, 510: 78.50, 520: 79.56, 530: 80.38, 540: 81.15, 550: 81.68, 560: 82.04, 570: 82.20, 580: 82.44, 590: 82.50, 600: 82.55, 610: 82.68, 620: 82.62, 630: 82.73, 640: 82.80, 650: 82.85, 660: 82.85, 670: 82.91, 680: 82.83, 690: 83.11, 700: 83.04, 710: 83.07, 720: 83.07, 730: 83.18, 740: 83.14}","{360: 8.79, 370: 10.61, 380: 15.16, 390: 26.20, 400: 45.48, 410: 62.92, 420: 69.37, 430: 71.30, 440: 72.86, 450: 74.10, 460: 74.72, 470: 75.02, 480: 75.55, 490: 76.21, 500: 77.03, 510: 78.09, 520: 79.16, 530: 79.98, 540: 80.76, 550: 81.30, 560: 81.67, 570: 81.84, 580: 82.08, 590: 82.16, 600: 82.23, 610: 82.39, 620: 82.34, 630: 82.47, 640: 82.57, 650: 82.63, 660: 82.67, 670: 82.74, 680: 82.66, 690: 82.96, 700: 82.90, 710: 82.94, 720: 82.93, 730: 83.04, 740: 83.01}",0.811859,0.769592,
00002,Dark Grey Floor Tiles,Floor,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0125,0.2,Spectrophotometer,0.2015,0.1879,0.1716,51.76,0.82,2.97,#7F7B76,"{360: 11.19, 370: 12.88, 380: 14.27, 390: 15.41, 400: 16.46, 410: 17.26, 420: 17.83, 430: 18.19, 440: 18.32, 450: 18.41, 460: 18.57, 470: 18.72, 480: 18.93, 490: 19.15, 500: 19.31, 510: 19.46, 520: 19.60, 530: 19.67, 540: 19.77, 550: 19.85, 560: 19.96, 570: 20.08, 580: 20.24, 590: 20.39, 600: 20.54, 610: 20.74, 620: 20.96, 630: 21.25, 640: 21.58, 650: 21.94, 660: 22.21, 670: 22.58, 680: 22.87, 690: 23.05, 700: 23.43, 710: 23.77, 720: 24.18, 730: 24.65, 740: 25.16}","{360: 9.92, 370: 11.61, 380: 13.00, 390: 14.15, 400: 15.21, 410: 16.01, 420: 16.59, 430: 16.95, 440: 17.08, 450: 17.18, 460: 17.34, 470: 17.49, 480: 17.70, 490: 17.92, 500: 18.08, 510: 18.23, 520: 18.36, 530: 18.43, 540: 18.53, 550: 18.61, 560: 18.71, 570: 18.83, 580: 18.99, 590: 19.13, 600: 19.28, 610: 19.48, 620: 19.68, 630: 19.98, 640: 20.31, 650: 20.66, 660: 20.94, 670: 21.31, 680: 21.60, 690: 21.78, 700: 22.15, 710: 22.49, 720: 22.90, 730: 23.36, 740: 23.88}",0.200617,0.191002,
00003,White Painted Room Ceiling,Ceiling,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0044,0.2,Spectrophotometer,0.8462,0.8206,0.7263,92.42,-0.09,5.88,#EEE9DE,"{360: 9.38, 370: 11.17, 380: 15.65, 390: 26.65, 400: 46.03, 410: 63.62, 420: 70.17, 430: 72.14, 440: 73.66, 450: 74.97, 460: 75.69, 470: 75.97, 480: 76.54, 490: 77.20, 500: 78.07, 510: 79.21, 520: 80.34, 530: 81.18, 540: 81.99, 550: 82.65, 560: 83.09, 570: 83.30, 580: 83.59, 590: 83.75, 600: 83.79, 610: 83.95, 620: 84.03, 630: 84.13, 640: 84.33, 650: 84.44, 660: 84.40, 670: 84.44, 680: 84.55, 690: 84.82, 700: 84.80, 710: 84.90, 720: 84.95, 730: 85.03, 740: 85.07}","{360: 9.29, 370: 11.04, 380: 15.46, 390: 26.41, 400: 45.72, 410: 63.25, 420: 69.74, 430: 71.66, 440: 73.13, 450: 74.41, 460: 75.12, 470: 75.41, 480: 75.98, 490: 76.66, 500: 77.54, 510: 78.69, 520: 79.84, 530: 80.69, 540: 81.52, 550: 82.19, 560: 82.64, 570: 82.86, 580: 83.16, 590: 83.34, 600: 83.41, 610: 83.60, 620: 83.70, 630: 83.81, 640: 84.04, 650: 84.17, 660: 84.17, 670: 84.22, 680: 84.34, 690: 84.63, 700: 84.61, 710: 84.73, 720: 84.78, 730: 84.85, 740: 84.90}",0.822038,0.775766,
00004,Light Brown Wooden Doors,Door,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0201,0.1,Spectrophotometer,0.5235,0.3815,0.193,69.74,5.69,24.04,#C4A67F,"{360: 8.22, 370: 8.85, 380: 10.28, 390: 12.97, 400: 16.90, 410: 19.76, 420: 20.50, 430: 21.01, 440: 21.55, 450: 22.59, 460: 24.06, 470: 25.97, 480: 27.96, 490: 29.73, 500: 32.04, 510: 34.97, 520: 37.41, 530: 38.42, 540: 38.24, 550: 37.65, 560: 38.77, 570: 42.51, 580: 47.14, 590: 50.39, 600: 51.40, 610: 51.21, 620: 50.94, 630: 50.82, 640: 51.00, 650: 51.65, 660: 52.65, 670: 53.22, 680: 52.89, 690: 52.17, 700: 50.61, 710: 49.40, 720: 49.85, 730: 51.52, 740: 56.07}","{360: 6.19, 370: 6.82, 380: 8.25, 390: 10.95, 400: 14.90, 410: 17.76, 420: 18.51, 430: 19.03, 440: 19.57, 450: 20.61, 460: 22.09, 470: 24.00, 480: 25.99, 490: 27.75, 500: 30.06, 510: 32.99, 520: 35.43, 530: 36.43, 540: 36.25, 550: 35.65, 560: 36.76, 570: 40.49, 580: 45.11, 590: 48.36, 600: 49.37, 610: 49.16, 620: 48.89, 630: 48.77, 640: 48.96, 650: 49.61, 660: 50.62, 670: 51.19, 680: 50.87, 690: 50.15, 700: 48.58, 710: 47.37, 720: 47.82, 730: 49.48, 740: 54.03}",0.4188,0.30202,
00005,Whiteboard Door,Furniture,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0549,0.01,Spectrophotometer,0.7749,0.8153,0.8299,92.53,-1.56,-1.38,#E5EBEC,"{360: 8.41, 370: 10.21, 380: 14.20, 390: 23.96, 400: 44.05, 410: 68.84, 420: 82.47, 430: 84.84, 440: 84.85, 450: 84.75, 460: 84.67, 470: 84.37, 480: 84.16, 490: 83.85, 500: 83.57, 510: 83.47, 520: 83.16, 530: 82.73, 540: 82.52, 550: 82.07, 560: 81.72, 570: 81.38, 580: 81.01, 590: 80.60, 600: 80.14, 610: 79.74, 620: 79.32, 630: 78.95, 640: 78.51, 650: 78.13, 660: 77.63, 670: 77.21, 680: 76.71, 690: 76.35, 700: 75.71, 710: 75.20, 720: 74.75, 730: 74.32, 740: 73.69}","{360: 2.86, 370: 4.62, 380: 8.56, 390: 18.25, 400: 38.28, 410: 63.02, 420: 76.61, 430: 78.94, 440: 78.92, 450: 78.82, 460: 78.76, 470: 78.50, 480: 78.34, 490: 78.09, 500: 77.87, 510: 77.81, 520: 77.54, 530: 77.15, 540: 77.00, 550: 76.58, 560: 76.26, 570: 75.95, 580: 75.60, 590: 75.21, 600: 74.77, 610: 74.39, 620: 73.99, 630: 73.63, 640: 73.20, 650: 72.84, 660: 72.36, 670: 71.96, 680: 71.47, 690: 71.11, 700: 70.48, 710: 69.97, 720: 69.52, 730: 69.09, 740: 68.47}",0.816177,0.837393,
00006,Dark Grey Floor Tiles Nonslip,Floor,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0015,0.3,Spectrophotometer,0.2341,0.2286,0.2048,54.9,-0.4,3.48,#85837D,"{360: 12.59, 370: 14.05, 380: 15.43, 390: 16.80, 400: 18.18, 410: 19.19, 420: 19.85, 430: 20.38, 440: 20.75, 450: 21.04, 460: 21.23, 470: 21.34, 480: 21.49, 490: 21.77, 500: 22.08, 510: 22.47, 520: 22.86, 530: 23.10, 540: 23.27, 550: 23.37, 560: 23.25, 570: 22.80, 580: 22.49, 590: 22.49, 600: 22.77, 610: 23.26, 620: 23.49, 630: 23.72, 640: 24.13, 650: 24.74, 660: 25.67, 670: 26.87, 680: 28.47, 690: 30.26, 700: 31.97, 710: 33.69, 720: 34.92, 730: 36.07, 740: 37.07}","{360: 12.37, 370: 13.83, 380: 15.22, 390: 16.59, 400: 17.99, 410: 19.00, 420: 19.67, 430: 20.20, 440: 20.58, 450: 20.86, 460: 21.06, 470: 21.17, 480: 21.33, 490: 21.61, 500: 21.92, 510: 22.31, 520: 22.70, 530: 22.94, 540: 23.11, 550: 23.22, 560: 23.09, 570: 22.64, 580: 22.34, 590: 22.34, 600: 22.62, 610: 23.11, 620: 23.35, 630: 23.58, 640: 24.00, 650: 24.61, 660: 25.55, 670: 26.75, 680: 28.35, 690: 30.13, 700: 31.85, 710: 33.56, 720: 34.80, 730: 35.94, 740: 36.93}",0.229666,0.219049,
00007,Light Grey Floor Tiles Nonslip,Floor,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0019,0.3,Spectrophotometer,0.4442,0.414,0.3328,70.38,0.2,8.57,#B3AB9D,"{360: 16.21, 370: 18.61, 380: 21.10, 390: 23.76, 400: 26.64, 410: 29.04, 420: 30.81, 430: 32.43, 440: 33.73, 450: 34.69, 460: 35.51, 470: 36.21, 480: 36.94, 490: 37.79, 500: 38.62, 510: 39.43, 520: 40.16, 530: 40.75, 540: 41.38, 550: 41.97, 560: 42.32, 570: 42.35, 580: 42.49, 590: 42.79, 600: 43.20, 610: 43.75, 620: 44.10, 630: 44.33, 640: 44.71, 650: 45.33, 660: 46.16, 670: 47.27, 680: 48.67, 690: 50.45, 700: 52.14, 710: 53.75, 720: 54.95, 730: 55.91, 740: 56.53}","{360: 16.03, 370: 18.43, 380: 20.92, 390: 23.57, 400: 26.45, 410: 28.84, 420: 30.61, 430: 32.24, 440: 33.53, 450: 34.49, 460: 35.30, 470: 36.01, 480: 36.74, 490: 37.59, 500: 38.41, 510: 39.22, 520: 39.95, 530: 40.54, 540: 41.18, 550: 41.78, 560: 42.13, 570: 42.15, 580: 42.30, 590: 42.61, 600: 43.02, 610: 43.57, 620: 43.92, 630: 44.15, 640: 44.55, 650: 45.16, 660: 46.00, 670: 47.11, 680: 48.50, 690: 50.29, 700: 51.97, 710: 53.57, 720: 54.78, 730: 55.73, 740: 56.35}",0.417865,0.376884,
00008,White Painted Corridor Walls,Wall,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0039,0.2,Spectrophotometer,0.8143,0.7984,0.715,91.39,-0.4,5.18,#EAE6DC,"{360: 8.53, 370: 10.39, 380: 14.92, 390: 25.83, 400: 45.03, 410: 62.51, 420: 69.08, 430: 70.91, 440: 72.48, 450: 73.66, 460: 74.34, 470: 74.56, 480: 75.01, 490: 75.70, 500: 76.50, 510: 77.42, 520: 78.40, 530: 79.18, 540: 79.82, 550: 80.25, 560: 80.58, 570: 80.73, 580: 80.95, 590: 81.00, 600: 80.95, 610: 81.04, 620: 81.01, 630: 81.07, 640: 81.09, 650: 81.16, 660: 81.02, 670: 81.04, 680: 80.96, 690: 81.09, 700: 80.96, 710: 81.03, 720: 80.95, 730: 80.98, 740: 80.86}","{360: 8.46, 370: 10.28, 380: 14.75, 390: 25.61, 400: 44.75, 410: 62.17, 420: 68.69, 430: 70.48, 440: 72.00, 450: 73.16, 460: 73.83, 470: 74.06, 480: 74.51, 490: 75.21, 500: 76.02, 510: 76.95, 520: 77.94, 530: 78.73, 540: 79.39, 550: 79.84, 560: 80.19, 570: 80.35, 580: 80.59, 590: 80.65, 600: 80.63, 610: 80.74, 620: 80.72, 630: 80.80, 640: 80.84, 650: 80.92, 660: 80.82, 670: 80.85, 680: 80.79, 690: 80.92, 700: 80.80, 710: 80.88, 720: 80.80, 730: 80.83, 740: 80.72}",0.797993,0.759583,
00009,Orange Painted Corridor Walls,Wall,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0.0008,0.2,Spectrophotometer,0.4289,0.162,0.0528,52.77,23.9,34.17,#B36D44,"{360: 5.15, 370: 5.20, 380: 5.39, 390: 5.65, 400: 5.90, 410: 6.06, 420: 6.21, 430: 6.43, 440: 6.82, 450: 7.37, 460: 7.90, 470: 8.26, 480: 8.55, 490: 8.98, 500: 9.69, 510: 10.69, 520: 12.17, 530: 13.80, 540: 15.32, 550: 16.54, 560: 18.58, 570: 22.99, 580: 28.77, 590: 33.42, 600: 36.50, 610: 38.57, 620: 39.97, 630: 41.07, 640: 42.06, 650: 43.03, 660: 44.00, 670: 44.99, 680: 46.04, 690: 47.21, 700: 48.31, 710: 49.36, 720: 50.28, 730: 50.98, 740: 51.36}","{360: 5.08, 370: 5.13, 380: 5.32, 390: 5.57, 400: 5.83, 410: 5.99, 420: 6.14, 430: 6.37, 440: 6.75, 450: 7.31, 460: 7.84, 470: 8.20, 480: 8.50, 490: 8.93, 500: 9.63, 510: 10.64, 520: 12.11, 530: 13.74, 540: 15.26, 550: 16.47, 560: 18.51, 570: 22.90, 580: 28.67, 590: 33.32, 600: 36.40, 610: 38.47, 620: 39.86, 630: 40.96, 640: 41.96, 650: 42.93, 660: 43.91, 670: 44.90, 680: 45.96, 690: 47.13, 700: 48.22, 710: 49.28, 720: 50.19, 730: 50.89, 740: 51.29}",0.226324,0.100242,
00010,Purple Painted Corridor Walls,Wall,Plastic,"Singapore, Singapore",1.34073,103.963067,Design for Climate and Comfort Lab,,Measured by SUTD undergraduate researchers Kevin Josiah Neo and Caroline.,0,0.2,Spectrophotometer,0.161,0.1725,0.2447,49.31,0.74,-10.84,#6D7687,"{360: 5.43, 370: 6.71, 380: 9.50, 390: 14.55, 400: 20.65, 410: 24.01, 420: 24.60, 430: 24.46, 440: 24.18, 450: 23.82, 460: 23.45, 470: 23.05, 480: 22.44, 490: 21.72, 500: 20.77, 510: 19.81, 520: 18.90, 530: 18.18, 540: 17.54, 550: 16.59, 560: 15.78, 570: 15.79, 580: 16.29, 590: 16.49, 600: 16.28, 610: 16.08, 620: 16.30, 630: 17.01, 640: 18.04, 650: 18.89, 660: 19.29, 670: 19.03, 680: 18.24, 690: 17.61, 700: 17.61, 710: 17.99, 720: 18.41, 730: 18.90, 740: 20.02}","{360: 5.40, 370: 6.67, 380: 9.46, 390: 14.51, 400: 20.61, 410: 23.96, 420: 24.56, 430: 24.42, 440: 24.16, 450: 23.81, 460: 23.45, 470: 23.05, 480: 22.45, 490: 21.74, 500: 20.80, 510: 19.84, 520: 18.93, 530: 18.22, 540: 17.59, 550: 16.64, 560: 15.83, 570: 15.84, 580: 16.34, 590: 16.55, 600: 16.33, 610: 16.14, 620: 16.36, 630: 17.08, 640: 18.12, 650: 18.97, 660: 19.39, 670: 19.13, 680: 18.33, 690: 17.71, 700: 17.72, 710: 18.11, 720: 18.53, 730: 19.02, 740: 20.15}",0.174118,0.213111,
